firstname,surname,bornCountry,bornCountryCode,gender,year,category,motivation
Bernardo Alberto,Houssay,Argentina,ARG,male,1947,medicine,"""for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar"""
C_sar,Milstein,Argentina,ARG,male,1984,medicine,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies"""
Adolfo,P_rez Esquivel,Argentina,ARG,male,1980,peace,
Carlos,Saavedra Lamas,Argentina,ARG,male,1936,peace,
Elfriede,Jelinek,Austria,AUT,female,2004,literature,"""for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute"
Richard Adolf,Zsigmondy,Austrian Empire (now Austria),AUT,male,1925,chemistry,"""for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry"""
Walter,Kohn,Austria,AUT,male,1998,chemistry,"""for his development of the density-functional theory"""
Victor Franz,Hess,Austria,AUT,male,1936,physics,"""for his discovery of cosmic radiation"""
Karl,Landsteiner,Austrian Empire (now Austria),AUT,male,1930,medicine,"""for his discovery of human blood groups"""
Julius,Wagner-Jauregg,Austria,AUT,male,1927,medicine,"""for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica"""
Richard,Kuhn,Austria-Hungary (now Austria),AUT,male,1938,chemistry,"""for his work on carotenoids and vitamins"""
Richard,Kuhn,Austria-Hungary (now Austria),AUT,male,1938,chemistry,"""for his work on carotenoids and vitamins"""
Robert,Bàràny,Austria,AUT,male,1914,medicine,"""for his work on the physiology and pathology of the vestibular apparatus"""
Martin,Karplus,Austria,AUT,male,2013,chemistry,"""for the development of multiscale models for complex chemical systems"""
Martin,Karplus,Austria,AUT,male,2013,chemistry,"""for the development of multiscale models for complex chemical systems"""
Erwin,Schr_dinger,Austria,AUT,male,1933,physics,"""for the discovery of new productive forms of atomic theory"""
Wolfgang,Pauli,Austria,AUT,male,1945,physics,"""for the discovery of the Exclusion Principle, also called the Pauli Principle"""
Konrad,Lorenz,Austria,AUT,male,1973,medicine,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns"""
Karl,von Frisch,Austria,AUT,male,1973,medicine,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns"""
