firstname,surname,bornCountryCode,gender,year,category,share,motivation
Elinor,Ostrom,US,female,2009,economics,2,"""for her analysis of economic governance, especially the commons"""
Elinor,Ostrom,US,female,2009,economics,2,"""for her analysis of economic governance, especially the commons"""
Wangari Muta,Maathai,KE,female,2004,peace,1,"""for her contribution to sustainable development, democracy and peace"""
Dorothy Crowfoot,Hodgkin,EG,female,1964,chemistry,1,"""for her determinations by X-ray techniques of the structures of important biochemical substances"""
Youyou,Tu,CN,female,2015,medicine,2,"""for her discoveries concerning a novel therapy against Malaria"""
Barbara,McClintock,US,female,1983,medicine,1,"""for her discovery of mobile genetic elements"""
Shirin,Ebadi,IR,female,2003,peace,1,"""for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children"""
Grazia,Deledda,IT,female,1926,literature,1,"""for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general"""
Gabriela,Mistral,CL,female,1945,literature,1,"""for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world"""
Elfriede,Jelinek,AT,female,2004,literature,1,"""for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power"""
Aung San Suu Kyi,,MM,female,1991,peace,1,"""for her non-violent struggle for democracy and human rights"""
Nelly,Sachs,DE,female,1966,literature,2,"""for her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength"" "
Svetlana,Alexievich,UA,female,2015,literature,1,"""for her polyphonic writings, a monument to suffering and courage in our time"""
Pearl,Buck,US,female,1938,literature,1,"""for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces"""
Wislawa,Szymborska,PL,female,1996,literature,1,"""for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality"""
Ada E.,Yonath,IL,female,2009,chemistry,3,"""for studies of the structure and function of the ribosome"""
Rosalyn,Yalow,US,female,1977,medicine,2,"""for the development of radioimmunoassays of peptide hormones"""
Carol W.,Greider,US,female,2009,medicine,3,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase"""
Elizabeth H.,Blackburn,AU,female,2009,medicine,3,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase"""
Maria,Goeppert Mayer,PL,female,1963,physics,4,"""for their discoveries concerning nuclear shell structure"""
Christiane,Nôsslein-Volhard,DE,female,1995,medicine,3,"""for their discoveries concerning the genetic control of early embryonic development"""
May-Britt,Moser,NO,female,2014,medicine,4,"""for their discoveries of cells that constitute a positioning system in the brain"""
Rita,Levi-Montalcini,IT,female,1986,medicine,2,"""for their discoveries of growth factors"""
Gertrude B.,Elion,US,female,1988,medicine,3,"""for their discoveries of important principles for drug treatment"""
Linda B.,Buck,US,female,2004,medicine,2,"""for their discoveries of odorant receptors and the organization of the olfactory system"""
Fran�oise,Barr_-Sinoussi,FR,female,2008,medicine,4,"""for their discovery of human immunodeficiency virus"""
Gerty Theresa,"Cori, n_e Radnitz",CZ,female,1947,medicine,4,"""for their discovery of the course of the catalytic conversion of glycogen"""
Ellen,Johnson Sirleaf,LR,female,2011,peace,3,"""for their non-violent struggle for the safety of women and for women&apos;s rights to full participation in peace-building work"""
Leymah,Gbowee,LR,female,2011,peace,3,"""for their non-violent struggle for the safety of women and for women&apos;s rights to full participation in peace-building work"""
Tawakkol,Karman,YE,female,2011,peace,3,"""for their non-violent struggle for the safety of women and for women&apos;s rights to full participation in peace-building work"""
Malala,Yousafzai,PK,female,2014,peace,2,"""for their struggle against the suppression of children and young people and for the right of all children to education"""
Jody,Williams,US,female,1997,peace,2,"""for their work for the banning and clearing of anti-personnel mines"""
Selma Ottilia Lovisa,Lagerl_f,SE,female,1909,literature,1,"""in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings"""
Marie,"Curie, n_e Sklodowska",PL,female,1911,chemistry,1,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element"""
Rigoberta,Menchì Tum,GT,female,1992,peace,1,"""in recognition of her work for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples"""
Marie,"Curie, n_e Sklodowska",PL,female,1903,physics,4,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel"""
Ir�ne,Joliot-Curie,FR,female,1935,chemistry,2,"""in recognition of their synthesis of new radioactive elements"""
Alice,Munro,CA,female,2013,literature,1,"""master of the contemporary short story"""
Sigrid,Undset,DK,female,1928,literature,1,"""principally for her powerful descriptions of Northern life during the Middle Ages"""
Doris,Lessing,IR,female,2007,literature,1,"""that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny"""
Toni,Morrison,US,female,1993,literature,1,"""who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality"""
Nadine,Gordimer,ZA,female,1991,literature,1,"""who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity"""
Herta,Môller,RO,female,2009,literature,1,"""who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed"""
Betty,Williams,GB,female,1976,peace,2,
Mairead,Corrigan,GB,female,1976,peace,2,
Alva,Myrdal,SE,female,1982,peace,2,
Mother Teresa,,MK,female,1979,peace,1,
Baroness Bertha Sophie Felicita,"von Suttner, n_e Countess Kinsky von Chinic und Tettau",CZ,female,1905,peace,1,
Jane,Addams,US,female,1931,peace,2,
Emily Greene,Balch,US,female,1946,peace,2,
BjËrnstjerne Martinus,BjËrnson,NO,male,1903,literature,1,"""as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit"""
Paul Johann Ludwig,Heyse,DE,male,1910,literature,1,"""as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories"""
Romain,Rolland,FR,male,1915,literature,1,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings"""
Jean-Marie Gustave,Le Cl_zio,FR,male,2008,literature,1,"""author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization"""
Henryk,Sienkiewicz,PL,male,1905,literature,1,"""because of his outstanding merits as an epic writer"""
Rabindranath,Tagore,IN,male,1913,literature,1,"""because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West"""
Tomas,Transtr_mer,SE,male,2011,literature,1,"""because, through his condensed, translucent images, he gives us fresh access to reality"""
Vicente,Aleixandre,ES,male,1977,literature,1,"""for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars"""
Eyvind,Johnson,SE,male,1974,literature,2,"""for a narrative art, far-seeing in lands and ages, in the service of freedom"""
Robert C.,Merton,US,male,1997,economics,2,"""for a new method to determine the value of derivatives"""
Myron S.,Scholes,CA,male,1997,economics,2,"""for a new method to determine the value of derivatives"""
Derek,Walcott,LC,male,1992,literature,1,"""for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment"""
Pablo,Neruda,CL,male,1971,literature,1,"""for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams"""
Camilo Jos_,Cela,ES,male,1989,literature,1,"""for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability"""
Gao,Xingjian,CN,male,2000,literature,1,"""for an &aelig;uvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama"""
Joseph,Brodsky,RU,male,1987,literature,1,"""for an all-embracing authorship, imbued with clarity of thought and poetic intensity"""
Patrick,White,GB,male,1973,literature,1,"""for an epic and psychological narrative art which has introduced a new continent into literature"""
Herbert,Kroemer,DE,male,2000,physics,4,"""for developing semiconductor heterostructures used in high-speed- and opto-electronics"""
Zhores I.,Alferov,BY,male,2000,physics,4,"""for developing semiconductor heterostructures used in high-speed- and opto-electronics"""
William D.,Phillips,US,male,1997,physics,3,"""for development of methods to cool and trap atoms with laser light"""
Claude,Cohen-Tannoudji,DZ,male,1997,physics,3,"""for development of methods to cool and trap atoms with laser light"""
Claude,Cohen-Tannoudji,DZ,male,1997,physics,3,"""for development of methods to cool and trap atoms with laser light"""
Steven,Chu,US,male,1997,physics,3,"""for development of methods to cool and trap atoms with laser light"""
Pierre-Gilles,de Gennes,FR,male,1991,physics,1,"""for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers"""
Peter Brian,Medawar,BR,male,1960,medicine,2,"""for discovery of acquired immunological tolerance"""
Sir Frank Macfarlane,Burnet,AU,male,1960,medicine,2,"""for discovery of acquired immunological tolerance"""
Martinus J.G.,Veltman,NL,male,1999,physics,2,"""for elucidating the quantum structure of electroweak interactions in physics"""
Gerardus,'t Hooft,NL,male,1999,physics,2,"""for elucidating the quantum structure of electroweak interactions in physics"""
Louis Eug�ne F_lix,N_el,FR,male,1970,physics,2,"""for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics"""
Hannes Olof G_sta,Alfv_n,SE,male,1970,physics,2,"""for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics"""
Charles Hard,Townes,US,male,1964,physics,2,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle"""
Aleksandr Mikhailovich,Prokhorov,AU,male,1964,physics,4,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle"""
Nicolay Gennadiyevich,Basov,RU,male,1964,physics,4,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle"""
David J.,Wineland,US,male,2012,physics,2,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems"""
David J.,Wineland,US,male,2012,physics,2,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems"""
Serge,Haroche,MA,male,2012,physics,2,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems"""
Serge,Haroche,MA,male,2012,physics,2,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems"""
Charles Kuen,Kao,CN,male,2009,physics,2,"""for groundbreaking achievements concerning the transmission of light in fibers for optical communication"""
Charles Kuen,Kao,CN,male,2009,physics,2,"""for groundbreaking achievements concerning the transmission of light in fibers for optical communication"""
Andre,Geim,RU,male,2010,physics,2,"""for groundbreaking experiments regarding the two-dimensional material graphene"""
Konstantin,Novoselov,RU,male,2010,physics,2,"""for groundbreaking experiments regarding the two-dimensional material graphene"""
Ragnar,Frisch,NO,male,1969,economics,2,"""for having developed and applied dynamic models for the analysis of economic processes"""
Jan,Tinbergen,NL,male,1969,economics,2,"""for having developed and applied dynamic models for the analysis of economic processes"""
Robert E.,Lucas Jr.,US,male,1995,economics,1,"""for having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy"""
Thomas C.,Schelling,US,male,2005,economics,2,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis"""
Robert J.,Aumann,DE,male,2005,economics,2,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis"""
Vernon L.,Smith,US,male,2002,economics,2,"""for having established laboratory experiments as a tool in empirical economic analysis, especially in the study of alternative market mechanisms"""
Gary S.,Becker,US,male,1992,economics,1,"""for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour"""
Gerard,Debreu,FR,male,1983,economics,1,"""for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium"""
Daniel,Kahneman,IL,male,2002,economics,2,"""for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty"""
